epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1264.23,1.03109,0.77552,1.21362,0.90465,0.9182,0.94708,0.71814,0.90426,0.59459,1.15266,0.000929476,0.000929476,0.000929476
88,1278.69,1.02571,0.74575,1.20833,0.87362,0.82796,0.90687,0.69003,0.95742,0.69479,1.16704,0.000927867,0.000927867,0.000927867
89,1293.15,1.0089,0.74234,1.20285,0.90837,0.91398,0.95042,0.67828,1.05006,0.62029,1.17348,0.000926242,0.000926242,0.000926242
90,1307.65,1.02738,0.76728,1.20871,0.88772,0.93517,0.96454,0.71884,0.93919,0.54404,1.19915,0.000924601,0.000924601,0.000924601
91,1322.03,1.02167,0.74781,1.20753,0.91839,0.79032,0.91703,0.69142,0.92726,0.67752,1.1488,0.000922942,0.000922942,0.000922942
92,1336.43,0.99713,0.7431,1.19755,0.90262,0.897,0.93058,0.69527,0.87243,0.56852,1.15086,0.000921268,0.000921268,0.000921268
93,1350.92,1.0013,0.74572,1.19308,0.88754,0.92473,0.94553,0.70076,0.90024,0.58145,1.1461,0.000919576,0.000919576,0.000919576
94,1365.4,1.00439,0.74487,1.20355,0.90034,0.87097,0.93233,0.65525,1.0404,0.65345,1.19407,0.000917869,0.000917869,0.000917869
95,1379.91,1.00183,0.74014,1.20354,0.90462,0.8669,0.94211,0.70054,0.97405,0.57881,1.18734,0.000916145,0.000916145,0.000916145
96,1394.48,0.98668,0.72053,1.18069,0.922,0.88974,0.94944,0.69183,0.98285,0.59541,1.14036,0.000914405,0.000914405,0.000914405
97,1408.87,0.9818,0.72007,1.18861,0.89337,0.93548,0.94818,0.70774,0.90771,0.56864,1.13701,0.000912649,0.000912649,0.000912649
98,1423.4,0.96559,0.70539,1.18097,0.92051,0.89247,0.93754,0.71401,0.92271,0.56719,1.1635,0.000910876,0.000910876,0.000910876
99,1437.79,0.97301,0.71577,1.17333,0.95262,0.88172,0.96091,0.75969,0.82893,0.5198,1.07321,0.000909088,0.000909088,0.000909088
100,1452.25,0.9874,0.71186,1.18678,0.89205,0.9086,0.95341,0.74679,0.85476,0.52826,1.09388,0.000907284,0.000907284,0.000907284
101,1466.69,0.98149,0.72175,1.18311,0.89534,0.87385,0.93764,0.7021,0.93225,0.57096,1.15142,0.000905463,0.000905463,0.000905463
102,1481.27,0.97802,0.72626,1.18442,0.90765,0.87097,0.94345,0.70816,0.91988,0.60284,1.15144,0.000903627,0.000903627,0.000903627
103,1495.8,0.96691,0.711,1.17802,0.93258,0.8924,0.95558,0.73477,0.85184,0.57008,1.12133,0.000901776,0.000901776,0.000901776
104,1510.2,0.96334,0.70119,1.17203,0.87273,0.88479,0.93991,0.72923,0.87737,0.59838,1.16152,0.000899908,0.000899908,0.000899908
105,1524.68,0.95634,0.69504,1.15999,0.90691,0.91398,0.94316,0.71375,0.93018,0.56149,1.14892,0.000898025,0.000898025,0.000898025
106,1539.14,0.97657,0.70388,1.16722,0.91401,0.89785,0.95288,0.68313,0.98493,0.58549,1.18659,0.000896127,0.000896127,0.000896127
107,1553.63,0.9753,0.7121,1.18007,0.94298,0.87634,0.95185,0.71449,0.89825,0.56313,1.1207,0.000894213,0.000894213,0.000894213
108,1568.1,0.95944,0.69992,1.1672,0.92069,0.87634,0.93396,0.71292,0.87464,0.59704,1.1093,0.000892283,0.000892283,0.000892283
109,1582.6,0.95856,0.69056,1.16874,0.89085,0.89247,0.94338,0.70678,0.91451,0.57728,1.1398,0.000890339,0.000890339,0.000890339
110,1597.06,0.93802,0.68302,1.16571,0.90486,0.86928,0.93335,0.67048,1.04901,0.64509,1.21033,0.000888379,0.000888379,0.000888379
111,1611.55,0.96549,0.70848,1.17766,0.92689,0.90323,0.95523,0.72067,0.92325,0.58416,1.12646,0.000886404,0.000886404,0.000886404
112,1626,0.96972,0.6923,1.1665,0.8619,0.87097,0.92295,0.69592,0.91143,0.66078,1.18241,0.000884414,0.000884414,0.000884414
113,1640.48,0.95857,0.70012,1.17052,0.8976,0.89542,0.9476,0.72371,0.85592,0.59669,1.12486,0.000882409,0.000882409,0.000882409
114,1654.96,0.95359,0.69342,1.16298,0.92046,0.87102,0.93418,0.73982,0.81356,0.58357,1.12561,0.000880389,0.000880389,0.000880389
115,1669.45,0.96445,0.69921,1.17117,0.88901,0.86131,0.93627,0.71452,0.90846,0.61151,1.20646,0.000878354,0.000878354,0.000878354
116,1683.87,0.93093,0.67563,1.15202,0.94935,0.89247,0.95388,0.72221,0.88039,0.53523,1.15098,0.000876305,0.000876305,0.000876305
117,1698.36,0.94048,0.68348,1.15878,0.92385,0.84794,0.92777,0.69264,0.96282,0.65512,1.14763,0.000874241,0.000874241,0.000874241
118,1712.85,0.92936,0.67008,1.15207,0.93397,0.89247,0.96056,0.72586,0.94612,0.55165,1.13538,0.000872162,0.000872162,0.000872162
119,1727.32,0.93575,0.67046,1.14826,0.96875,0.84409,0.955,0.75965,0.8178,0.52703,1.0837,0.000870069,0.000870069,0.000870069
120,1741.78,0.93085,0.68117,1.14887,0.94137,0.89247,0.96436,0.75357,0.84699,0.52419,1.10417,0.000867961,0.000867961,0.000867961
121,1756.25,0.92922,0.66247,1.1493,0.91609,0.90323,0.94964,0.73501,0.83681,0.54427,1.10772,0.000865839,0.000865839,0.000865839
122,1770.68,0.94094,0.68328,1.15295,0.89229,0.89247,0.93418,0.7006,0.87326,0.60509,1.16016,0.000863703,0.000863703,0.000863703
123,1785.17,0.91902,0.66853,1.1467,0.88622,0.89247,0.93159,0.72277,0.87169,0.56764,1.12556,0.000861553,0.000861553,0.000861553
124,1799.61,0.93906,0.67625,1.15207,0.89587,0.89247,0.92504,0.72177,0.88669,0.58422,1.13878,0.000859389,0.000859389,0.000859389
125,1814.11,0.92643,0.66175,1.15099,0.91394,0.91398,0.94894,0.72717,0.89119,0.55655,1.13028,0.00085721,0.00085721,0.00085721
126,1828.53,0.92403,0.6632,1.15172,0.89435,0.86474,0.92526,0.70628,0.86351,0.60339,1.13136,0.000855018,0.000855018,0.000855018
127,1843.04,0.92344,0.64935,1.14266,0.91816,0.90477,0.94311,0.72136,0.89039,0.58473,1.12221,0.000852812,0.000852812,0.000852812
128,1857.51,0.93256,0.66517,1.14732,0.89957,0.91502,0.94342,0.69745,0.92543,0.58439,1.12441,0.000850592,0.000850592,0.000850592
129,1871.95,0.91821,0.65005,1.13972,0.89406,0.89785,0.94455,0.71874,0.8879,0.61346,1.10263,0.000848358,0.000848358,0.000848358
130,1886.41,0.91874,0.65914,1.14077,0.91476,0.86548,0.9273,0.68317,0.95872,0.68711,1.15714,0.000846111,0.000846111,0.000846111
131,1900.85,0.91104,0.65824,1.14249,0.90186,0.8893,0.94277,0.70416,0.90291,0.59299,1.13247,0.000843851,0.000843851,0.000843851
132,1915.32,0.92071,0.6611,1.14284,0.88856,0.92473,0.94165,0.72831,0.86696,0.55112,1.13383,0.000841577,0.000841577,0.000841577
133,1929.77,0.90036,0.64627,1.13019,0.94527,0.86022,0.94713,0.71457,0.90529,0.60539,1.11056,0.00083929,0.00083929,0.00083929
134,1944.19,0.90482,0.64667,1.13164,0.89841,0.91398,0.9414,0.72759,0.85194,0.58129,1.08633,0.000836989,0.000836989,0.000836989
135,1958.64,0.91374,0.64913,1.13287,0.91273,0.90323,0.95027,0.71602,0.91472,0.5779,1.13389,0.000834676,0.000834676,0.000834676
136,1973.14,0.88386,0.63216,1.12725,0.90282,0.8991,0.94778,0.73315,0.85111,0.58472,1.11357,0.000832349,0.000832349,0.000832349
137,1987.55,0.90532,0.64868,1.13912,0.89648,0.90323,0.94634,0.72716,0.91668,0.57762,1.13166,0.00083001,0.00083001,0.00083001
138,2001.96,0.88898,0.63299,1.12552,0.92673,0.91398,0.96093,0.72983,0.88517,0.54521,1.14912,0.000827658,0.000827658,0.000827658
139,2016.53,0.88625,0.62461,1.12268,0.93028,0.86022,0.95258,0.72645,0.86401,0.57085,1.13311,0.000825293,0.000825293,0.000825293
140,2031.09,0.90789,0.64299,1.1348,0.92876,0.90323,0.96268,0.75266,0.87712,0.52545,1.13517,0.000822915,0.000822915,0.000822915
141,2045.47,0.89255,0.62963,1.12624,0.89478,0.93548,0.95333,0.75263,0.85458,0.53863,1.10362,0.000820525,0.000820525,0.000820525
142,2059.96,0.8933,0.6473,1.12672,0.91621,0.94056,0.95455,0.70094,0.97273,0.59488,1.14688,0.000818122,0.000818122,0.000818122
143,2074.4,0.89129,0.63671,1.12909,0.90744,0.8961,0.94677,0.73241,0.85393,0.5796,1.11823,0.000815707,0.000815707,0.000815707
144,2088.79,0.88308,0.6297,1.12513,0.91844,0.90813,0.95885,0.73931,0.89279,0.53757,1.13007,0.00081328,0.00081328,0.00081328
145,2103.22,0.87557,0.61157,1.11922,0.93263,0.9086,0.956,0.7576,0.83009,0.52393,1.1186,0.000810841,0.000810841,0.000810841
146,2117.69,0.88507,0.63069,1.12467,0.87292,0.8871,0.94851,0.74497,0.83396,0.53477,1.11277,0.000808389,0.000808389,0.000808389
147,2132.19,0.87352,0.62506,1.12142,0.92095,0.87689,0.95926,0.7168,0.92062,0.58174,1.14752,0.000805925,0.000805925,0.000805925
148,2146.67,0.8672,0.61989,1.11518,0.91101,0.87097,0.9543,0.74554,0.8467,0.58817,1.10762,0.00080345,0.00080345,0.00080345
149,2161.09,0.89517,0.62397,1.11977,0.92583,0.89247,0.94406,0.73762,0.83157,0.53464,1.08513,0.000800963,0.000800963,0.000800963
150,2175.45,0.89014,0.62892,1.12337,0.92774,0.89735,0.95735,0.74629,0.84433,0.53447,1.09681,0.000798464,0.000798464,0.000798464
151,2189.92,0.8715,0.61807,1.12338,0.90299,0.95079,0.96397,0.73514,0.86164,0.55071,1.08212,0.000795954,0.000795954,0.000795954
152,2204.4,0.86762,0.61213,1.11241,0.91266,0.93548,0.96719,0.7687,0.78709,0.49483,1.06693,0.000793432,0.000793432,0.000793432
153,2218.98,0.86419,0.6071,1.1098,0.91441,0.91907,0.96381,0.74935,0.85058,0.52673,1.09864,0.000790898,0.000790898,0.000790898
154,2233.41,0.85117,0.60316,1.09856,0.89944,0.91368,0.95412,0.73105,0.91559,0.57475,1.15262,0.000788354,0.000788354,0.000788354
155,2247.84,0.863,0.61535,1.11418,0.91744,0.89785,0.94935,0.73823,0.83164,0.52333,1.12111,0.000785798,0.000785798,0.000785798
156,2262.27,0.86526,0.62107,1.11418,0.93325,0.90323,0.95541,0.7451,0.82482,0.51065,1.12454,0.000783231,0.000783231,0.000783231
157,2276.68,0.85829,0.60448,1.11263,0.9242,0.90323,0.96117,0.73932,0.84791,0.52379,1.1381,0.000780653,0.000780653,0.000780653
158,2291.2,0.86324,0.61203,1.11761,0.9144,0.91891,0.96287,0.75059,0.85598,0.52214,1.12012,0.000778065,0.000778065,0.000778065
159,2305.75,0.85101,0.59458,1.10688,0.87296,0.93548,0.93923,0.7408,0.83794,0.5511,1.09189,0.000775465,0.000775465,0.000775465
160,2320.24,0.85762,0.61059,1.10396,0.86979,0.94086,0.95783,0.74491,0.83339,0.52411,1.10744,0.000772855,0.000772855,0.000772855
161,2334.72,0.85912,0.59074,1.10036,0.88496,0.93548,0.96456,0.75976,0.82083,0.54244,1.09024,0.000770234,0.000770234,0.000770234
162,2349.23,0.83226,0.58951,1.0935,0.95312,0.87446,0.96302,0.76521,0.82982,0.53784,1.10417,0.000767603,0.000767603,0.000767603
163,2363.62,0.85001,0.58834,1.10982,0.90184,0.94086,0.95994,0.75037,0.84732,0.53627,1.10041,0.000764961,0.000764961,0.000764961
164,2378.06,0.86029,0.60503,1.11031,0.92237,0.90323,0.95658,0.73744,0.85723,0.5495,1.14333,0.00076231,0.00076231,0.00076231
165,2392.55,0.85139,0.59565,1.10549,0.90355,0.94086,0.95832,0.73214,0.88035,0.55584,1.14989,0.000759648,0.000759648,0.000759648
166,2407.03,0.8505,0.60219,1.10127,0.9196,0.92473,0.96522,0.74995,0.83898,0.54172,1.10389,0.000756976,0.000756976,0.000756976
167,2421.39,0.84704,0.5998,1.10421,0.89308,0.91398,0.95435,0.72134,0.91762,0.60195,1.13853,0.000754293,0.000754293,0.000754293
168,2435.85,0.83479,0.59927,1.09651,0.88691,0.92766,0.95964,0.74169,0.85574,0.52575,1.14111,0.000751602,0.000751602,0.000751602
169,2450.32,0.82656,0.57766,1.09417,0.9067,0.9405,0.95856,0.74026,0.8865,0.53218,1.15711,0.0007489,0.0007489,0.0007489
170,2464.76,0.82995,0.5795,1.08791,0.94862,0.91398,0.96486,0.74776,0.87461,0.493,1.14062,0.000746189,0.000746189,0.000746189
171,2479.23,0.82501,0.58088,1.08944,0.95873,0.87432,0.96357,0.73445,0.87572,0.5221,1.14114,0.000743468,0.000743468,0.000743468
