epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,4779.61,1.05676,0.79278,1.30708,0.86468,0.9276,0.95037,0.70556,0.80679,0.50433,1.12535,0.000944628,0.000944628,0.000944628
78,4841.26,1.0731,0.80751,1.31324,0.90644,0.88554,0.94611,0.72044,0.80396,0.50395,1.13296,0.000943189,0.000943189,0.000943189
79,4903.74,1.06419,0.81146,1.30578,0.86555,0.91935,0.95327,0.67709,0.94352,0.53544,1.16109,0.000941734,0.000941734,0.000941734
80,4965.37,1.03689,0.78536,1.30132,0.91743,0.89609,0.95572,0.73972,0.76508,0.47471,1.09885,0.000940262,0.000940262,0.000940262
81,5027.87,1.04064,0.79237,1.29028,0.88849,0.93011,0.95813,0.71922,0.81545,0.49802,1.11333,0.000938772,0.000938772,0.000938772
82,5089.59,1.04219,0.78989,1.29371,0.89326,0.91935,0.95263,0.70517,0.83582,0.48268,1.11198,0.000937265,0.000937265,0.000937265
83,5151.96,1.05209,0.80041,1.31232,0.93216,0.91935,0.9607,0.71942,0.76422,0.48142,1.09027,0.000935741,0.000935741,0.000935741
84,5213.62,1.02856,0.782,1.27523,0.91005,0.93011,0.95338,0.70164,0.85225,0.51354,1.11621,0.0009342,0.0009342,0.0009342
85,5275.97,1.0388,0.77846,1.29219,0.85794,0.95161,0.95311,0.72867,0.77372,0.48508,1.09809,0.000932642,0.000932642,0.000932642
86,5337.67,1.01283,0.77127,1.27075,0.93868,0.83871,0.94765,0.72151,0.79236,0.48455,1.10884,0.000931067,0.000931067,0.000931067
87,5400.09,1.02596,0.77407,1.28848,0.93717,0.9086,0.95568,0.71137,0.77681,0.49706,1.09686,0.000929476,0.000929476,0.000929476
88,5461.75,1.02042,0.75984,1.27629,0.92616,0.90323,0.95038,0.71812,0.81283,0.50141,1.12641,0.000927867,0.000927867,0.000927867
89,5524.07,1.0173,0.77976,1.28412,0.93067,0.93011,0.96061,0.71985,0.80305,0.48335,1.09719,0.000926242,0.000926242,0.000926242
90,5585.72,1.00844,0.76249,1.27258,0.94525,0.88172,0.96004,0.7216,0.80348,0.48623,1.11364,0.000924601,0.000924601,0.000924601
91,5648.08,1.01159,0.7593,1.2687,0.9473,0.89247,0.9585,0.72108,0.77256,0.47375,1.09986,0.000922942,0.000922942,0.000922942
92,5709.71,1.00943,0.75118,1.2696,0.90042,0.92364,0.9535,0.68994,0.87366,0.50767,1.13242,0.000921268,0.000921268,0.000921268
93,5772.1,1.00503,0.75045,1.26911,0.94068,0.91935,0.95444,0.72259,0.75946,0.48128,1.10085,0.000919576,0.000919576,0.000919576
94,5833.77,0.99521,0.73935,1.26636,0.90824,0.8871,0.94043,0.71035,0.81863,0.5063,1.13384,0.000917869,0.000917869,0.000917869
95,5896.13,0.98922,0.75092,1.2568,0.91939,0.91935,0.95203,0.73398,0.74498,0.46749,1.09252,0.000916145,0.000916145,0.000916145
96,5957.76,0.97467,0.72912,1.24612,0.90941,0.91747,0.95255,0.7271,0.77354,0.45516,1.09924,0.000914405,0.000914405,0.000914405
97,6020.16,0.98364,0.72509,1.24917,0.90845,0.9069,0.95653,0.72328,0.77256,0.48481,1.09586,0.000912649,0.000912649,0.000912649
98,6081.76,1.00448,0.74276,1.26386,0.92272,0.89865,0.94591,0.70703,0.81501,0.5017,1.12271,0.000910876,0.000910876,0.000910876
99,6144.12,0.97994,0.72639,1.24439,0.89951,0.93011,0.95762,0.73589,0.74493,0.45504,1.07656,0.000909088,0.000909088,0.000909088
100,6205.76,0.98262,0.73906,1.24872,0.89076,0.94086,0.9553,0.73375,0.73452,0.45221,1.0855,0.000907284,0.000907284,0.000907284
101,6268.13,0.97368,0.72915,1.24701,0.89346,0.91398,0.9489,0.74428,0.70827,0.45281,1.08022,0.000905463,0.000905463,0.000905463
102,6330.03,0.98407,0.72572,1.25074,0.87857,0.92473,0.95815,0.71136,0.82773,0.47352,1.13954,0.000903627,0.000903627,0.000903627
103,6392.44,0.98373,0.71562,1.24919,0.88166,0.92473,0.95222,0.73157,0.72679,0.4578,1.08641,0.000901776,0.000901776,0.000901776
104,6454.08,0.97173,0.72279,1.23885,0.90287,0.89956,0.94578,0.72089,0.75675,0.49198,1.08991,0.000899908,0.000899908,0.000899908
105,6516.43,0.95654,0.70837,1.23185,0.88538,0.93011,0.95988,0.74169,0.76188,0.47314,1.10946,0.000898025,0.000898025,0.000898025
106,6578.03,0.96693,0.71819,1.24015,0.91782,0.89785,0.95788,0.72819,0.78042,0.45596,1.08994,0.000896127,0.000896127,0.000896127
